vocab,kana,English definition
奥さん,おくさん,(your/someone's) wife
ご主人,ごしゅじん,(your/someone's) husband
パートナー,,partner
おじさん,,uncle; middle-aged man
おばさん,,aunt; middle-aged woman
両親,りょうしん,parents
大家さん,おおやさん,landlord; landlady
皆さん,みなさん,everyone; all of you
チョコレート,,chocolate
みかん,,mandarin orange
トレーナー,,sweatshirt
シャツ,,shirt
ネクタイ,,necktie
マフラー,,winter scarf
指輪,ゆびわ,ring
鉛筆,えんぴつ,pencil
ぬいぐるみ,,stuffed animal (e.g. teddy bear)
漫画,まんが,comic book
化粧品,けしょうひん,cosmetics
ラジオ,,radio
お皿,おさら,plate; dish
お返し,おかえし,return (as a token of gratitude)
履歴書,りれきしょ,resume; résumé
クリスマス,,Christmas
バレンタインデー,,Valentine's Day
ホワイトデー,,White Day
欲しい,ほしい,to want (thing が)
おしゃれ（な）,,fashionable; stylish
けち（な）,,stingy; cheap
送る,おくる,to send (person に thing を)
似合う,にあう,to look good (on somebody) (thing が)
あきらめる,,to give up (～を)
あげる,,to give (to others) (person に thing を)
くれる,,to give (me) (person に thing を)
できる,,to come into existence; to be made (～が)
相談する,そうだんする,to consult (person に)
注意する,ちゅういする,to give warning (person に); to watch out (～に)
プロポーズする,,to propose marriage (person に)
～君,～くん,Mr./Ms... (casual)
～たち,,[makes a noun plural]
私たち,わたしたち,we
こんな～,,...like this; this kind of...
急に,きゅうに,suddenly
ちょうど,,exactly
よく,,well
さあ,,I am not sure...
どうしたらいい,,what should one do
～個,～こ,[generic counter for smaller items]
～冊,～さつ,[counter for bound volumes]
～台,～だい,[counter for equipment]
～匹,～ひき,[counter for smaller animals]
～本,～ほん,[counter for long objects]
～枚,～まい,[counter for flat objects]